"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"231",19.83425,-0.5390331087,355,118,1353,-3280,-0.400390625,-6816,-0.83203125,2192,0.267578125,960,260,476,-81,6400,14112,4532,62720,3500,20.6875,0.003255208,19:50:55,"Out of water",NA,0
"232",19.83426667,-0.5253765616,339,134,1356,-2288,-0.279296875,-7888,-0.962890625,1808,0.220703125,960,-205,-602,69,4684,17096,4228,62720,3500,20.6875,-0.026041667,19:50:56,"Out of water",NA,0
"233",19.83428333,-0.5337760582,347,159,1361,-2448,-0.298828125,-6752,-0.82421875,640,0.078125,960,188,436,-10,4996,13992,1684,62720,3500,20.75,-0.059244792,19:50:57,"Out of water",NA,0
"234",19.8343,-0.5278577847,352,138,1357,-3104,-0.37890625,-7424,-0.90625,1216,0.1484375,960,28,-174,-104,6260,15288,2264,62704,3500,20.8125,0.020833333,19:50:58,"Straight swim",NA,0
"235",19.83431667,-0.5343128927,346,146,1358,-2176,-0.265625,-8016,-0.978515625,2064,0.251953125,960,-204,-345,-22,4864,16936,5516,62704,3500,20.8125,0.040364583,19:50:59,"Straight swim",NA,0
"236",19.85,-0.534057569,358,148,1343,-2048,-0.25,-6896,-0.841796875,1664,0.203125,960,-74,-94,-14,1944,13080,2548,62720,3500,20.8125,0.028645833,19:51:00,"Straight swim",NA,0
"237",19.85001667,-0.5268364897,359,160,1343,-2464,-0.30078125,-7664,-0.935546875,832,0.1015625,960,-2,-208,-113,4788,15044,2324,62720,3500,20.875,0.03125,19:51:01,"Straight swim",NA,0
"238",19.85003333,-0.5010487914,346,163,1345,-1568,-0.19140625,-8144,-0.994140625,1536,0.1875,960,47,886,-85,3156,14380,2704,62704,3500,20.875,-0.077473958,19:51:02,"Straight swim",NA,0
"239",19.85005,-0.532650015,-399,-151,1123,-368,-0.044921875,-5008,-0.611328125,6576,0.802734375,960,-91,963,877,972,10104,10452,62736,3500,20.875,0.134765625,19:51:03,"Feed",NA,1
"240",19.85006667,-0.5310526049,-337,-193,1086,-400,-0.048828125,-4624,-0.564453125,4752,0.580078125,960,99,360,429,2160,10472,11168,62720,3500,20.875,-0.092447917,19:51:04,"Lturn while feed",NA,1
"241",19.85008333,-0.5423654109,-265,-231,1003,-4464,-0.544921875,-4128,-0.50390625,6048,0.73828125,960,823,353,-127,7400,7312,8340,62720,3500,20.9375,0.008463542,19:51:05,"Lturn while feed",NA,1
"242",19.8501,-0.5225483602,-179,-188,1101,-4976,-0.607421875,-3760,-0.458984375,6704,0.818359375,960,270,286,-403,9732,7364,13800,62736,3500,20.875,0.020833333,19:51:06,"Lturn while feed",NA,1
"243",19.85011667,-0.5306990797,-234,-134,1157,-3232,-0.39453125,-5664,-0.69140625,4144,0.505859375,960,50,-50,-165,6828,10664,8412,62736,3500,20.9375,-0.004557292,19:51:07,"Feed",NA,1
"244",19.85013333,-0.5259592235,-253,-112,1171,-3440,-0.419921875,-5552,-0.677734375,3424,0.41796875,960,120,212,-72,8260,11952,7092,62720,3500,20.9375,-0.052083333,19:51:08,"Feed",NA,1
"245",19.85015,-0.5412786483,-260,-109,1176,-4128,-0.50390625,-6320,-0.771484375,3664,0.447265625,960,-65,-35,-38,8324,12692,8380,62752,3500,20.875,0.02734375,19:51:09,"Feed",NA,1
"246",19.85016667,-0.534692605,-287,-146,1209,-2416,-0.294921875,-6064,-0.740234375,5360,0.654296875,960,-504,44,-272,3924,13780,14516,62704,3500,20.875,0.0546875,19:51:10,"Feed",NA,1
